asin,title,category_path,label
B0086UU35I,"Hello Kitty Junior's Leopard Short Set, Pink, Small","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B000I550UC,Maidenform One FAB Fit Shirred Bralette (L White),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00JGITP4E,Women's Printed Spaghetti Strap Short Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00EB4CBXK,"My Michelle Juniors Ombre Hi-Low Dress, Merlot, 7","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B004HEXG1A,"Mac &amp; Jac Women's Moody Spots Dress, Green, X-Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00C12LB8U,Stanzino Women's Black Sleeveless Racerback Studded Maxi Dress black S,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00EYCJ650,Panache Women's Andorra Plunge Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CJCQNSK,Allegra K Ladies Batwing Sleeves Stretchy Shiny Detail Casual Mini Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B0090P26ZS,EstelleTM Post-Surgery Comfort Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00DQSV4XK,PajamaMania Flannel Robes,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00G6N9KQA,GO2BRAS Women's Lacy Not Racy Cami Bra with Comfort Straps,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CTUVY22,Szivyshi Women's Overbust Sweetheart Corset Top Green,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CZ32DZK,Blue Juice Women's Studded Moment Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00B182RMY,Bali Women's Comfort Indulgence Back Smoothing Foam Underwire Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B007PSE66E,Women's Pajamas Sleepwear (Sweet Paradise); Softest Pajamas You Ever Had! Texere,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B008X0U0Y0,Soybu Dhara Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B008N7W410,"Hue Sleepwear Women's Butterfly Shadows Capri, White, Small","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00I13JJSC,"G2 Chic Women's Zebra Print Halter Maxi Dress(DRS-CAS,BLK-M)","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00IPDIODY,Eileen West Women's 50 Inch Cap Sleeve 100% Cotton Lawn Solid Rp Gown,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00JY3RO3K,Miusol Womens Celeb Lace Contrast Evening Wedding Pencil Midi Bodycon Dresses,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00DF1M2AW,"CATHERINE CATHERINE MALANDRINO Women's Alexa Jersey Dress, Golden Rod, X-Small","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00135NIP0,Petra Garter Belt (Black),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00JV8JRC4,Mink Pink King of the Jungle Dress (m),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B008BPUV1E,Plus Size Hi-lo Tube Dress Black - 2X,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00BRBU0OC,"My Michelle Juniors 33 Inch Lattice Hem Razor Back Dress, Navy, Medium","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00CZW8P5I,"LnLClothing Short Stripped Dress,Pink,XLarge","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00AQB324E,Beach Belle Perfection Plus Size Spliced Swimsuit Women's Swimsuit - Multi - Size:20,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B001J6OO6K,Glamorise Women's Soft Shoulders Minimizer Bra   #1135,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0084FZX14,Bali Women's One Smooth U with Lace Side Support Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B007XD4IMS,Lady Light Pink V Neck Long Sleeve Self Tie Strap Front Dress S,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00EVPCU9O,Honeystore Women's Pick Up Sweetheart Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B000ADNNCO,Jockey No Panty Line Promise Hip Brief (6 Cheetah),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00FMRZMBI,"Munki Munki Women's Classic Flannel Pajama Set, Heather Polar Bears, Large","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B006PA7XBI,On Gossamer Women's Cabana Tank Capri Pajama Set,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B007FDOX30,O'Neill Juniors Distance Tube Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B004HB3CVM,"Nicole Miller Women's Chambray Linen Dress, Navy, 4","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00IVG6XEW,Miusol Womens Sexy Hollow Out 3/4 Sleeve Neck Office Pencil Dress Slim,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00GV1IC98,Zeagoo Women's Pink Lacing Dress Thongs G-string Bra Set,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B006ZUS3XU,Ever Pretty One Shoulder Ruffles Black And White Printed Long Formal Gown 09309,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00GM76LWQ,Cotton Cantina Women's Upfront Waist Cincher,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00937JQRE,Champion Women's Shaped T-Back Printed Sports Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CZED6RS,MOD 20 Women's Mixed Ditsy Floral Dress Light Pink L(5085),"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B001SLA884,Hanes Women's Comfort Shape Concealing Petals Wire Free Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B005DS9TVU,What Katie Did Maitresse Black Satin Suspender Belt,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CNFG1XK,"Floral Paisley Printed Body Con Midi Dress (20, Pink)","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B004YHREOA,Arianne Ibiza Chemise with Contrast Lace Trim (8230) L/Ocean,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00DM0RAB2,Elomi Women's Roxy Underwire Longline Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00CIUB0X6,Trixxi Juniors Border Lawn Embroidered Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B007M8SAPU,Felina Women's Emmanuel Semi Demi Floating Contour Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00B67J74G,Ladies Hot &amp; Sexy Black Lace Lingerie - Cozy Panties/Briefs/Underwear,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B009QW3XX4,"AGB Women's Boat Neck Doleman Sleeve Blouse Dress, Multi-Colored, 12","Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B007VCCKRQ,Lindy Bop Womens 'Juliet' Classy Polka Dot Vintage Ww2 Landgirl Pinup Tea Dress,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
B00362RGQK,Bali Microfiber Crop Top Bra,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B0000868C8,"Playtex Super Look Plus Brief, X-Large, White","Clothing, Shoes & Jewelry -> Women -> Clothing -> Lingerie, Sleep & Lounge",1
B00ELV4GZ4,Flying Tomato Women's Bohemian Peasant Maxi Dress Large Teal,"Clothing, Shoes & Jewelry -> Women -> Clothing -> Dresses",0
