EXAMPLE_ID	TITLE	CATEGORY
0	Star Wars Boy's TIE Fighter in Flight T-Shirt Athletic Heather S	Shirt
1	Authentic Graphite Mens Green Flannel Shirt Clasp Front Flat Collar Cotton L	Shirt
2	tommy hilfiger 2012 Color Block T Shirt Size XL Men	Shirt
3	Judith Hart Petites Silk Blend Top Size LP	Shirt
4	Stetson Western Shirt Mens L/S Plaid Button Blue 11-001-0579-5004 BU	Shirt
5	Black Sabbath Mob Rules repro shirt Metal Doom	Shirt
6	Got Rays ? T-Shirt Tee Shirt Gildan Free Sticker S M L XL 2XL 3XL Cotton	Shirt
7	Chicago Illinois American Flag T-Shirt	Shirt
8	Nike Mens Dri-FIT Breathe Hyper Dry Training Running Top Shirt NEW AT3737-403	Shirt
9	A Nightmare Before Christmas. Shirt. Black. Adult M (38-40)	Shirt
10	Steve Madden XENON WEDGE PLATFORMS 5.5 NEW IN BOX	Shoes
11	Danner Grouse Gore-Tex Black	Shoes
12	Antonio Melani Peep Toe/ Studed Bow Womens Size 8.5	Shoes
13	PRADA Men's Logo Slip on Brown Leather Driving Loafer Shoe 10	Shoes
14	Anne Klein Sport Patent Ballet Flat Shoes Bright Red US 8 M Akaricia Rubber Sole	Shoes
15	Betsey Johnson Gold Retro Pin Up Girl Rockabilly Flower Strappy Sandal Heel * 7	Shoes
16	Women Winter Outdoor Warm Ankle Snow Boots Fur Side Thermal Shoes	Shoes
17	Naturalizer Womens Marianne Low Top Pull On Fashion, Silver Snake, Size 10.0 RkG	Shoes
18	NIKE REACT PRESTO LASER CRIMSON-METALLIC SILVER SZ 11.5 [CK4538-600]	Shoes
19	Assorted Brands Women Brown Mule/Clog EUR 39	Shoes
20	Vintage SOUTHPOLE Jeans Charcoal Mens Size 38 Brown Patches Design 1t99	Pants
21	Barbour Mens Neuston Slim-Fit Stretch Tapered Fit Chinos Pants Powder Blue 38R	Pants
22	BDG Urban Outfitters - Twig High Rise Pants - Womens 27 Black	Pants
23	ASHLEY STEWART BLACK PANTS SIZE 24A	Pants
24	DIESEL men Jeans Sz 28 THOMMER-T Blue Denim Distressed Stretch Pants Blue 28 ...	Pants
25	Child of Mine Boys Pants size 6 mo, blue/navy, cotton	Pants
26	CITIZENS OF HUMANITY COH Denim DANI Cropped Straight Leg Cuff Capri Jeans Sz 32	Pants
